Combination, leakage_current_cir, leakage_current_mos, error
000100101,7.46715e-06, 6.087598900000005e-06, 1.8474934881447345
000100110,7.67411e-06, 5.821438600000005e-06, 2.4141840552194265
000100111,8.32291e-06, 5.732036800000003e-06, 3.1129415072372484
000101000,1.05729e-05, 6.116951100000005e-06, 4.214500184433783
000101001,1.08983e-05, 5.8206118000000045e-06, 4.659156198673184
000101010,1.24935e-05, 5.859878900000004e-06, 5.309657902109094
000101011,1.3799e-05, 5.5628579000000024e-06, 5.968651424016231
000101100,1.17124e-05, 5.747674600000003e-06, 5.092658549912911
000101101,1.1381e-05, 5.6589545000000035e-06, 5.0277176873736895
000101110,1.40874e-05, 5.364946300000001e-06, 6.191670357908485
000101111,1.47901e-05, 5.3239275e-06, 6.400343811062806
000110000,8.84587e-06, 6.020639000000005e-06, 3.1938418719696267
000110001,9.18867e-06, 5.736214100000004e-06, 3.7572966490253714
000110010,9.77943e-06, 5.744563800000004e-06, 4.125870526196308
000110011,1.11024e-05, 5.4594572000000014e-06, 5.082633304510735
000110100,9.00527e-06, 5.647494000000003e-06, 3.7286788735929033
000110101,8.67395e-06, 5.558773900000004e-06, 3.5914157909602844
000110110,9.93883e-06, 5.371418800000003e-06, 4.595522008123689
000110111,1.05877e-05, 5.282017000000001e-06, 5.011176176128903
000111000,1.22341e-05, 5.467020200000002e-06, 5.5313262111638775
000111001,1.25769e-05, 5.182595300000001e-06, 5.879274463500543
000111010,1.51791e-05, 5.255163300000002e-06, 6.537895329762633
000111011,1.65195e-05, 4.9819711e-06, 6.984187717545931
000111100,1.34275e-05, 5.141576500000001e-06, 6.170860919754235
000111101,1.30962e-05, 5.0528564000000014e-06, 6.141738519570561
000111110,1.68444e-05, 4.815977900000001e-06, 7.140902673885683
000111111,1.75471e-05, 4.7749591e-06, 7.2787759230870055
001000000,7.94769e-06, 6.737754000000008e-06, 1.5223744257765361
001000001,8.29049e-06, 6.453329100000006e-06, 2.2159859067437444
001000010,7.82331e-06, 6.382873600000005e-06, 1.8412109452392853
001000011,9.14626e-06, 6.097767000000004e-06, 3.3330486996870805
001000100,8.10709e-06, 6.364609000000006e-06, 2.1493297841765586
001000101,7.77577e-06, 6.275888900000005e-06, 1.9289164931575844
001000110,7.98271e-06, 6.009728600000006e-06, 2.4715684272634157
001000111,8.63153e-06, 5.920326800000004e-06, 3.1410459095896055
001001000,8.81919e-06, 6.195518500000006e-06, 2.9749574507409338
001001001,9.16199e-06, 5.911093600000006e-06, 3.548242685268151
001001010,1.07397e-05, 5.938446300000005e-06, 4.470565937596017
001001011,1.20627e-05, 5.6533397000000036e-06, 5.313371218715543
001001100,9.97602e-06, 5.838156400000004e-06, 4.14781004849629
001001101,9.6447e-06, 5.749436300000003e-06, 4.038760873847809
001001110,1.23511e-05, 5.455428100000002e-06, 5.583042724939478
001001111,1.30538e-05, 5.414409300000001e-06, 5.852235134596821
001010000,7.57545e-06, 6.471593700000006e-06, 1.4571494762687276
001010001,7.91826e-06, 6.187168800000006e-06, 2.186201513968971
001010010,8.50901e-06, 6.195518500000004e-06, 2.718872700819479
001010011,9.83196e-06, 5.910411900000003e-06, 3.98857206497992
001010100,7.73486e-06, 6.098448700000005e-06, 2.1156314400002003
001010101,7.40353e-06, 6.009728600000006e-06, 1.882617346049782
001010110,8.66842e-06, 5.822373500000005e-06, 3.2832355838780254
001010111,9.31724e-06, 5.732971700000003e-06, 3.846920654614454
001011000,8.44695e-06, 5.929358200000005e-06, 2.9804743724066034
001011001,8.78976e-06, 5.644933300000004e-06, 3.577829997633606
001011010,1.14254e-05, 5.7510912000000035e-06, 4.966398375549212
001011011,1.27484e-05, 5.4659846000000024e-06, 5.712415205045337
001011100,9.60379e-06, 5.5719961000000026e-06, 4.198127926578984
001011101,9.27246e-06, 5.483276000000003e-06, 4.086492689102997
001011110,1.30368e-05, 5.268073000000001e-06, 5.959075079774178
001011111,1.37395e-05, 5.2270542e-06, 6.195600858837658
001100000,7.71328e-06, 6.027993200000005e-06, 2.1849158853302293
001100001,8.05608e-06, 5.743568300000004e-06, 2.8705172987358556
001100010,7.5889e-06, 5.673112800000006e-06, 2.5244596713621137
001100011,8.91184e-06, 5.388006200000003e-06, 3.9541035296863463
001100100,7.87268e-06, 5.654848200000005e-06, 2.8171242829633556
001100101,7.54135e-06, 5.566128100000004e-06, 2.6191887394166775
001100110,7.7483e-06, 5.299967800000004e-06, 3.159831446898024
001100111,8.39712e-06, 5.210566000000003e-06, 3.794817747037076
001101000,1.16877e-05, 5.662371100000004e-06, 5.155273407086078
001101001,1.20305e-05, 5.377946200000004e-06, 5.529740077303517
001101010,1.36082e-05, 5.405298900000003e-06, 6.027910451051569
001101011,1.49312e-05, 5.120192300000002e-06, 6.5708099148092565
001101100,1.28445e-05, 5.305009000000002e-06, 5.869820545758884
001101101,1.25132e-05, 5.216288900000003e-06, 5.831370952274396
001101110,1.52196e-05, 4.9222807e-06, 6.765827814134405
